CLIENTNUM,Attrition_Numeric,Customer_Age_zScore,Credit_Limit_log,Total_Revolving_Bal_divMedian,Total_Trans_Amt_log,Avg_Utilization_Ratio,Gender,Dependent_count,Education_Level_sorted,Marital_Status_sorted,Income_Category_sorted,Card_Category_sorted,Months_on_book_zScore,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon
714648933,0,1.0820343287753762,8.488999457045455,0.8800940438871473,7.349873704738337,0.231,F,3,Graduate,Married,0K - 40K,Blue,0.0089645128459509,3,2,0
717628608,0,-1.1633575071931606,7.853993087224244,1.2852664576802508,7.850882664809852,0.637,M,3,Graduate,Married,60K - 80K,Blue,-0.8675670059632139,5,1,5
711777633,0,-0.6643815436445969,8.6628507638386,0.0,8.336390480591552,0.0,M,3,Graduate,Divorced,60K - 80K,Blue,-1.1180045827658325,5,2,2
716645883,0,0.0840824016782487,9.537267195753865,0.0,8.365672383774996,0.0,M,2,Graduate,Married,60K - 80K,Blue,0.0089645128459509,3,2,2
708217758,0,2.079986255872504,9.549309488795982,1.615203761755486,7.381501894506707,0.147,M,2,Graduate,Married,60K - 80K,Blue,1.6368087620629717,5,2,3
711119358,0,-1.0386135163060195,7.607878073278507,0.7021943573667712,7.807916628926408,0.445,M,3,Graduate,Married,60K - 80K,Blue,-0.6171294291605954,6,1,2
712138983,0,0.9572903378882354,7.988542982737695,1.7366771159874608,7.463936604468925,0.752,M,1,Graduate,Married,60K - 80K,Blue,0.0089645128459509,3,3,2
708974283,0,0.4583143743396716,9.80598497117489,0.0,9.64387450001194,0.0,M,4,Graduate,Married,60K - 80K,Blue,-0.2414730639566675,5,1,1
719621958,0,-0.4148935618703149,8.381373468273702,0.0,7.450079569807499,0.0,M,3,Graduate,Married,60K - 80K,Blue,-0.9927857943645232,3,2,3
813810333,1,0.4583143743396716,7.6251071482389,0.0,7.902117546276448,0.0,M,3,Post-Graduate,Married,60K - 80K,Blue,1.1359336084577345,6,4,3
771424908,1,-1.0386135163060195,9.328301169609748,0.8847962382445141,7.476472381163905,0.1,M,2,Graduate,Married,60K - 80K,Blue,-1.243223371167142,2,2,3
718893333,0,0.7078023561139535,9.816621619514466,1.627742946708464,8.923857580099885,0.113,M,3,Graduate,Married,60K - 80K,Blue,0.0089645128459509,3,3,2
789842283,1,0.9572903378882354,8.371010681238156,0.0,6.559615237493242,0.0,M,2,Graduate,Married,60K - 80K,Blue,0.7602772432538066,3,3,2
